,,,,,,,,,,,,,,,,,,FY12,FY13,FY14,,,FY15,,,FY16,,,FY17,,,FY18,,,,FY19,,,FY20,,,,FY21 (Covid),,,FY22,,,
STATION, FY1995 , FY1996 , FY1997 , FY1998 , FY1999 , FY2000 , FY2001 , FY2002 , FY2003 , FY2004 , FY2005 , FY2006 , FY2007 , FY2008 , FY2009 , FY2010 , FY2011 ,Spring 2012,Spring 2013,Summer 2013,Fall 2013,Spring 2014,Summer 2014,Fall 2014,Spring 2015,Summer 2015,Fall 2015,Spring 2016,Summer 2016,Fall 2016,Spring 2017,Summer 2017,Fall 2017,Spring 2018 (pre-Courthouse),Spring 2018 (w/Courthouse),Summer 2018,Fall 2018,Spring 2019,Summer 2019,Fall 2019,Spring 2020 (thru April 11),April 2020 (Covid),Summer 2020,Fall 2020,Spring 2021,Summer 2021,Fall 2021 (Sept21),Mid Coast (Nov 21),Spring 2022
 12th/Imperial ,"5,797","6,414","6,979","7,972","8,345","8,611","9,577","9,381","8,728","8,601","8,350","8,017","9,171","8,542","9,149","8,628","9,563","  7,089 ","11,456","11,925","12,157","12,221","12,245","12,003","12,817","13,117","12,452","12,369","12,342","11,203","11,942","11,857","11,681","12,067","12,110","12,369","12,309","11,641","12,026","12,379","  9,943 ","  5,861 ","  6,937 ","  7,776 ","  7,743 ","  9,771 ", missing ,"  9,500 ","  11,266 "
 12th/Imperial (Bayside) ,457,418,584,547,598,586,716,537,710,676,678,613,597,634,756,576,590,  421 ,"4,704","5,141","4,985","4,921","5,154","4,833","4,819","4,975","4,946","4,900","4,840","4,466","4,642","4,461","4,144","4,273","4,292","4,325","4,369","4,377","4,516","4,472","  2,888 ","  1,455 ","  1,887 ","  2,081 ","  2,029 ","  2,481 ", from  ,"  2,390 ","  2,857 "
 24th St ,"1,703","2,140","2,075","2,558","2,637","3,004","3,003","2,809","2,609","2,652","2,380","2,345","2,378","2,179","2,387","2,096","2,318","  1,542 ","1,890","1,824","1,888","1,821","1,723","1,842","2,228","2,217","2,171","2,128","2,091","1,969","2,116","2,069","2,060","2,181","2,188","2,202","2,204","2,300","2,308","2,376","  1,727 ",  867 ,"  1,068 ","  1,238 ","  1,232 ","  1,596 ", RCP ,"  1,638 ","  2,008 "
 25th & Commercial ,"1,109","1,176",954,"1,107","1,084","1,209","1,251","1,126","1,336","1,225","1,235","1,162","1,075","1,083","1,268","1,264","1,253",  679 ,"1,318","1,326","1,454","1,405","1,338","1,396","1,434","1,446","1,431","1,419","1,385","1,307","1,276","1,179","1,229","1,226","1,233","1,307","1,337","1,346","1,300","1,387","  1,056 ",  613 ,  685 ,  791 ,  722 ,  902 ,,  961 ,"  1,126 "
 32nd & Commercial ,717,725,821,855,980,"1,047","1,136","1,060","1,057",940,875,870,904,936,916,944,"1,007",  605 ,"1,199","1,056","1,225","1,179","1,058","1,166","1,173","1,109","1,122","1,097",963,965,"1,015",838,929,905,910,841,863,817,757,903,  642 ,  306 ,  341 ,  391 ,  370 ,  512 ,,  546 ,  695 
 47th St ,678,581,652,782,842,845,918,871,912,775,713,686,561,607,568,569,630,  312 ,674,644,686,688,715,689,642,628,597,617,567,558,584,556,565,584,587,555,538,530,490,543,  402 ,  203 ,  234 ,  273 ,  251 ,  314 ,,  353 ,  426 
 70th St ,,,,,,,,,,,,382,548,702,556,475,504,  497 ,654,619,660,640,611,639,606,581,588,588,486,466,476,459,465,458,460,393,392,410,360,462,  302 ,  135 ,  155 ,  170 ,  155 ,  217 ,,  242 ,  280 
 8th St ,976,"1,043","1,097","1,209","1,244","1,423","1,550","1,379","1,451","1,474","1,504","1,231","1,529","2,004","2,163","1,871","1,895","  1,370 ","1,546","1,543","1,513","1,457","1,427","1,493","1,853","1,873","1,843","1,813","1,838","1,663","1,778","1,723","1,691","1,776","1,779","1,797","1,832","1,882","1,897","1,980","  1,464 ",  801 ,"  1,024 ","  1,167 ","  1,166 ","  1,417 ",,"  1,426 ","  1,689 "
 Alvarado ,,,,,,,,,,,,419,561,614,684,430,427,  382 ,857,612,943,890,573,863,783,617,831,706,464,650,613,415,717,678,680,419,600,592,384,749,  463 ,  137 ,  164 ,  185 ,  200 ,  347 ,,  288 ,  431 
