,FY24,,,*FY25,,,,Weekday North+South or East+West Sum of Passengers On = Daily Weekday Avg On
STATION,Summer 2023,Fall 2023,Spring 2024,"Summer 2024 (Jun 9, 2024)","Fall 2024 (Sep 1, 2024)","Spring 2025 (Jan 26, 2025)",,*Using Daily Avg On from UTA for calculation
 12th/Imperial ,"  12,936 ","  13,184 ","  12,532 ","  11,731 ","  10,199 ","  10,330 ",,
 12th/Imperial (Bayside) ,"  2,763 ","  3,002 ","  2,703 ","  3,544 ","  3,074 ","  3,215 ",,
 24th St ,"  2,360 ","  2,440 ","  2,467 ","  1,866 ","  1,874 ","  1,876 ",,
 25th & Commercial ,"  1,065 ","  1,181 ","  1,080 ","  1,095 ","  1,099 ",  992 ,,
 32nd & Commercial ,  702 ,  797 ,  739 ,  726 ,  674 ,  755 ,,
 47th St ,  504 ,  546 ,  510 ,  510 ,  504 ,  502 ,,
 70th St ,  319 ,  382 ,  366 ,  354 ,  331 ,  350 ,,
 8th St ,"  1,823 ","  2,002 ","  2,032 ","  1,638 ","  1,678 ","  1,558 ",,
 Alvarado ,  391 ,  570 ,  509 ,"  1,254 ",  642 ,  579 ,,
 Amaya Drive ,  455 ,  538 ,  520 ,  442 ,  538 ,  465 ,,
 America Plaza ,"  2,224 ","  2,392 ","  2,246 ","  1,608 ","  1,607 ","  1,531 ",,
 Arnele Ave ,"  1,069 ","  1,226 ",  808 ,  800 ,  439 ,  350 ,,
 Balboa Avenue,"  1,155 ","  1,247 ","  1,255 ","  1,273 ","  1,367 ","  1,285 ",,
 Barrio Logan ,"  1,634 ","  1,452 ","  1,574 ","  1,277 ","  1,241 ","  1,183 ",,
 Beyer Blvd ,"  2,304 ","  2,240 ","  2,251 ","  1,555 ","  1,717 ","  1,610 ",,
 City College ,"  4,568 ","  5,397 ","  5,272 ","  3,638 ","  4,294 ","  4,161 ",,
 Civic Center ,"  2,223 ","  2,377 ","  2,289 ","  1,659 ","  1,626 ","  1,564 ",,
 Clairemont Drive,  297 ,  298 ,  309 ,  332 ,  309 ,  302 ,,
 Convention Center ,  944 ,  685 ,  649 ,"  1,597 ",  616 ,  605 ,,
 County Center/Little Italy ,"  1,748 ","  1,644 ","  1,577 ","  2,046 ","  1,612 ","  1,539 ",,
 Courthouse Station,  758 ,  834 ,  708 ,  766 ,  756 ,  769 ,,
 E St ,"  2,148 ","  2,259 ","  2,275 ","  1,931 ","  1,878 ","  1,864 ",,
 El Cajon ,"  2,000 ","  2,314 ","  2,553 ","  2,319 ","  3,882 ","  3,734 ",,
 Encanto/62nd St ,  928 ,"  1,069 ",  908 ,  900 ,"  1,083 ",  993 ,,
 Euclid Ave ,"  1,884 ","  2,240 ","  2,093 ","  1,946 ","  2,230 ","  2,171 ",,
 Executive Drive,  840 ,"  1,063 ","  1,024 ",  504 ,  962 ,  811 ,,
 Fashion Valley ,"  1,845 ","  1,844 ","  1,706 ","  2,114 ","  1,979 ","  1,879 ",,
 Fenton Parkway ,  510 ,  562 ,  570 ,  578 ,  611 ,  568 ,,
 Fifth Ave ,"  3,427 ","  3,683 ","  3,475 ","  2,729 ","  2,762 ","  2,546 ",,
 Gaslamp Quarter ,"  3,183 ","  1,927 ","  1,410 ","  2,295 ",  800 ,"  1,024 ",,
 Gillespie Field ,  202 ,  210 ,  413 ,  389 ,  149 ,  117 ,,
 Grantville ,  838 ,"  1,129 ","  1,018 ","  1,231 ","  1,040 ",  981 ,,
 Grossmont ,"  1,788 ","  2,059 ","  1,900 ","  1,890 ","  1,896 ","  1,801 ",,
 H St ,"  2,609 ","  2,844 ","  2,821 ","  2,140 ","  2,369 ","  2,212 ",,
 Harborside ,"  1,359 ","  1,344 ","  1,341 ",  907 ,  940 ,  892 ,,
 Hazard Center ,  839 ,  847 ,  821 ,  972 ,  741 ,  816 ,,
 Iris Ave ,"  3,453 ","  4,130 ","  4,381 ","  3,510 ","  3,766 ","  3,586 ",,
 La Mesa Blvd ,  700 ,  804 ,  752 ,  718 ,  774 ,  776 ,,
 Lemon Grove Depot ,"  1,221 ","  1,428 ","  1,268 ","  1,237 ","  1,290 ","  1,302 ",,
 Massachusetts Ave ,  452 ,  493 ,  466 ,  483 ,  446 ,  498 ,,
 Middletown ,  410 ,  418 ,  401 ,  440 ,  398 ,  387 ,,
 Mission San Diego ,  379 ,  402 ,  369 ,  374 ,  378 ,  366 ,,
 Mission Valley Center ,  921 ,  922 ,  824 ,  879 ,  859 ,  718 ,,
 Morena/Linda Vista ,  745 ,  728 ,  719 ,  800 ,  666 ,  691 ,,
 Nobel Drive,"  1,670 ","  2,047 ","  1,818 ","  1,641 ","  2,249 ","  1,968 ",,
 Old Town ,"  7,054 ","  7,294 ","  6,874 ","  7,255 ","  7,323 ","  7,068 ",,
 Pacific Fleet ,  945 ,  754 ,  763 ,  686 ,  637 ,  543 ,,
 Palm Ave ,"  2,261 ","  2,433 ","  2,416 ","  2,008 ","  2,096 ","  2,014 ",,
 Palomar St ,"  5,026 ","  5,519 ","  5,253 ","  3,942 ","  3,963 ","  3,822 ",,
 Park/Market ,"  3,269 ","  3,512 ","  3,453 ","  3,034 ","  2,983 ","  2,913 ",,
 Rio Vista ,  524 ,  537 ,  525 ,  592 ,  504 ,  498 ,,
 San Ysidro ,"  12,913 ","  13,342 ","  12,739 ","  13,395 ","  13,683 ","  13,372 ",,
 Santa Fe Depot ,"  2,364 ","  2,214 ","  2,167 ","  2,762 ","  2,117 ","  2,186 ",,
 Santee ,  936 ,"  1,034 ",  741 ,  711 ,  725 ,  632 ,,
 SDSU ,"  1,672 ","  2,692 ","  2,102 ",1739,"  2,656 ","  2,307 ",,
 Seaport Village ,  717 ,  617 ,  602 ,  852 ,  504 ,  597 ,,
 Spring St ,  687 ,  795 ,  787 ,  750 ,  829 ,  811 ,,
 Tecolote Road,  440 ,  542 ,  526 ,  470 ,  513 ,  523 ,,
 UCSD Central Campus,"  1,260 ","  3,258 ","  3,069 ","  1,453 ","  4,510 ","  3,569 ",,
 UCSD Health La Jolla,  562 ,  838 ,  857 ,  565 ,  896 ,  859 ,,
 UTC Station,"  1,095 ","  1,755 ","  1,563 ","  1,619 ","  2,287 ","  2,004 ",,
 VA Medical Center,  920 ,"  1,018 ",  891 ,  809 ,  800 ,  837 ,,
 Washington St ,  981 ,"  1,014 ","  1,012 ","  1,020 ","  1,013 ","  1,071 ",,
Stadium Station,  211 ,  282 ,  197 ,  426 ,  140 ,  210 ,,
