objectid,stop_uid,stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_agncy,wheelchair,intersec,stop_place,parent_sta,lat,lng
1,MTS_11tbro,11tbro,,11th Ave & Broadway,32.71626794,-117.1546493,MTS,0.00E+00,,,,32.71626318,-117.1546374
2,MTS_12tS,12tS,,12th & Imperial Station,32.70600195,-117.1533779,MTS,0.00E+00,,,,32.70599719,-117.153366
3,MTS_imtS,imtS,,12th & Imperial Station Bayside,32.70522905,-117.1543179,MTS,0.00E+00,,,,32.70522429,-117.154306
4,MTS_imp12,imp12,,12th & Imperial Transit Center,32.70568488,-117.152875,MTS,0.00E+00,,,,32.70568012,-117.1528631
5,MTS_24tS,24tS,,24th Street Station,32.66185407,-117.108017,MTS,0.00E+00,,,,32.66184931,-117.1080051
6,MTS_24tro,24tro,,24th Street Transit Center,32.66184386,-117.1079831,MTS,0.00E+00,,,,32.6618391,-117.1079712
7,MTS_25tS,25tS,,25th & Commercial St Station,32.70530703,-117.1402,MTS,0.00E+00,,,,32.70530227,-117.1401881
8,MTS_32nS,32nS,,32nd & Commercial St Station,32.70591999,-117.1245601,MTS,0.00E+00,,,,32.70591523,-117.1245482
9,MTS_47tS,47tS,,47th Street Station,32.7084541,-117.0949142,MTS,0.00E+00,,,,32.70844934,-117.0949023
10,MTS_5thS,5thS,,5th Avenue Station,32.71676205,-117.159703,MTS,0.00E+00,,,,32.71675729,-117.1596911
11,MTS_70tSta,70tSta,,70th St. Trolley Station,32.7722103,-117.0420253,MTS,0.00E+00,,,,32.77220553,-117.0420134
12,MTS_70tS,70tS,,70th Street Station,32.77224895,-117.0424701,MTS,0.00E+00,,,,32.77224418,-117.0424582
13,MTS_8thS,8thS,,8th Street Station,32.67487514,-117.1130881,MTS,0.00E+00,,,,32.67487038,-117.1130763
14,MTS_8thtro,8thtro,,8th Street Transit Center,32.6750042,-117.113301,MTS,0.00E+00,,,,32.67499944,-117.1132891
15,MTS_amaS,amaS,,Amaya Drive Station,32.78542394,-117.0017229,MTS,0.00E+00,,,,32.78541916,-117.001711
16,MTS_apzS,apzS,,America Plaza Station,32.71616941,-117.1689802,MTS,0.00E+00,,,,32.71616465,-117.1689682
17,MTS_amptro,amptro,,America Plaza Trolley Station,32.7170022,-117.1683545,MTS,0.00E+00,,,,32.71699744,-117.1683426
18,MTS_arnS,arnS,,Arnele Avenue Station,32.80461604,-116.975727,MTS,0.00E+00,,,,32.80461126,-116.9757151
19,MTS_balS,balS,,Balboa Avenue Station,32.80578303,-117.2140535,MTS,0.00E+00,,,,32.80577826,-117.2140416
20,MTS_baltro,baltro,,Balboa Avenue Transit Center,32.80570489,-117.2136771,MTS,0.00E+00,,,,32.80570012,-117.2136652
21,MTS_barS,barS,,Barrio Logan Station,32.69802393,-117.1465879,MTS,0.00E+00,,,,32.69801917,-117.146576
22,MTS_beyS,beyS,,Beyer Blvd Station,32.55757111,-117.0469741,MTS,0.00E+00,,,,32.55756636,-117.0469622
23,MTS_broket,broket,,Broadway & Kettner Bl,32.71571435,-117.1688938,MTS,0.00E+00,,,,32.71570959,-117.1688819
