equity_report_year,data_year,indicator,data_source,group,category,subcategory,count,percent,rate
2025,,English Language Learners,California Department of Education.,"05: 5th Grade (n=6,972)",ELL Level,Level 2,,25.0,
2025,2020.0,Business Ownership,2020 American Community Survey 5-year Estimates,Population,Race/Ethnicity,"Hispanic or Latino, of Any Race",1126266.0,33.9,
2025,2020.0,Business Ownership,2020 American Community Survey 5-year Estimates,Population,Race/Ethnicity,"White, Non-Hispanic",1492165.0,44.9,
2023,2017.0,Business Ownership,2017 American Community Survey 1-year Estimates,2017 Population,Race/Ethnicity,"American Indian or Alaska Native, Non-Hispanic",12699.0,0.4,
2023,2017.0,Business Ownership,2017 American Community Survey 1-year Estimates,2017 Population,Race/Ethnicity,"Asian, Non-Hispanic",394340.0,11.8,
2023,2017.0,Business Ownership,2017 American Community Survey 1-year Estimates,2017 Population,Race/Ethnicity,"Native Hawaiian or Pacific Islander, Non-Hispanic",12808.0,0.4,
2023,2017.0,Business Ownership,2017 American Community Survey 1-year Estimates,2017 Population,Race/Ethnicity,"Black or African American, Non-Hispanic",153740.0,4.6,
2023,2017.0,Business Ownership,2017 American Community Survey 1-year Estimates,2017 Population,Race/Ethnicity,"Hispanic or Latino, of Any Race",1129970.0,33.9,
2023,2017.0,Business Ownership,2017 American Community Survey 1-year Estimates,2017 Population,Race/Ethnicity,"White, Non-Hispanic",1512229.0,45.3,
2023,2017.0,Business Ownership,2017 American Community Survey 1-year Estimates,2017 Population,Race/Ethnicity,Multiracial,113880.0,3.4,
2023,2017.0,Business Ownership,2017 American Community Survey 1-year Estimates,2017 Population,Race/Ethnicity,Some Other Race,8019.0,0.2,
2023,2017.0,Business Ownership,2017 American Community Survey 1-year Estimates,2017 Population,Minority_Nonminority,Minority,1825456.0,54.7,
2023,2017.0,Business Ownership,2017 American Community Survey 1-year Estimates,2017 Population,Minority_Nonminority,Nonminority,1512229.0,45.3,
2023,2017.0,Business Ownership,2017 American Community Survey 1-year Estimates,2017 Population,Sex,Female,1658275.0,49.7,
2023,2017.0,Business Ownership,2017 American Community Survey 1-year Estimates,2017 Population,Sex,Male,1679410.0,50.3,
2023,2017.0,Business Ownership,2017 American Community Survey 1-year Estimates,2017 Population,Total,Total,3337685.0,100.0,
2023,2017.0,Business Ownership,2018 Annual Business Survey,Employer Businesses,Race/Ethnicity,"American Indian or Alaska Native, Non-Hispanic",154.0,0.2,
2023,2017.0,Business Ownership,2018 Annual Business Survey,Employer Businesses,Race/Ethnicity,"Asian, Non-Hispanic",8846.0,13.0,
2023,2017.0,Business Ownership,2018 Annual Business Survey,Employer Businesses,Race/Ethnicity,"Black or African American, Non-Hispanic",658.0,1.0,
2023,2017.0,Business Ownership,2018 Annual Business Survey,Employer Businesses,Race/Ethnicity,"Hispanic or Latino, of Any Race",6392.0,9.4,
2023,2017.0,Business Ownership,2018 Annual Business Survey,Employer Businesses,Race/Ethnicity,Equally Hispanic/Non-Hispanic,1201.0,1.8,
2023,2017.0,Business Ownership,2018 Annual Business Survey,Employer Businesses,Race/Ethnicity,"White, Non-Hispanic",46781.0,68.7,
2023,2017.0,Business Ownership,2018 Annual Business Survey,Employer Businesses,Minority_Nonminority,Minority,16237.0,23.8,
2023,2017.0,Business Ownership,2018 Annual Business Survey,Employer Businesses,Minority_Nonminority,Nonminority,46070.0,67.6,
2023,2017.0,Business Ownership,2018 Annual Business Survey,Employer Businesses,Minority_Nonminority,Equally Minority/Nonminority,1652.0,2.4,
2023,2017.0,Business Ownership,2018 Annual Business Survey,Employer Businesses,Unclassifiable,Unclassifiable,4176.0,6.1,
2023,2017.0,Business Ownership,2018 Annual Business Survey,Employer Businesses,Sex,Female,13521.0,19.8,
2023,2017.0,Business Ownership,2018 Annual Business Survey,Employer Businesses,Sex,Male,39786.0,58.4,
2023,2017.0,Business Ownership,2018 Annual Business Survey,Employer Businesses,Sex,Equally Female/Male Owned,10652.0,15.6,
2023,2017.0,Business Ownership,2018 Annual Business Survey,Employer Businesses,Total,Total,68133.0,100.0,
2023,2017.0,Business Ownership,2018 Nonemployer Statistics by Demographics series,Nonemployer Businesses,Race/Ethnicity,"American Indian or Alaska Native, Non-Hispanic",450.0,0.2,
2023,2017.0,Business Ownership,2018 Nonemployer Statistics by Demographics series,Nonemployer Businesses,Race/Ethnicity,"Asian, Non-Hispanic",30000.0,10.2,
2023,2017.0,Business Ownership,2018 Nonemployer Statistics by Demographics series,Nonemployer Businesses,Race/Ethnicity,"Native Hawaiian or Pacific Islander, Non-Hispanic",700.0,0.2,
2023,2017.0,Business Ownership,2018 Nonemployer Statistics by Demographics series,Nonemployer Businesses,Race/Ethnicity,"Black or African American, Non-Hispanic",11500.0,3.9,
2023,2017.0,Business Ownership,2018 Nonemployer Statistics by Demographics series,Nonemployer Businesses,Race/Ethnicity,"Hispanic or Latino, of Any Race",71000.0,24.2,
2023,2017.0,Business Ownership,2018 Nonemployer Statistics by Demographics series,Nonemployer Businesses,Race/Ethnicity,Equally Hispanic/Non-Hispanic,800.0,0.3,
2023,2017.0,Business Ownership,2018 Nonemployer Statistics by Demographics series,Nonemployer Businesses,Race/Ethnicity,"White, Non-Hispanic",171000.0,58.4,
2023,2017.0,Business Ownership,2018 Nonemployer Statistics by Demographics series,Nonemployer Businesses,Minority_Nonminority,Minority,114000.0,38.9,
2023,2017.0,Business Ownership,2018 Nonemployer Statistics by Demographics series,Nonemployer Businesses,Minority_Nonminority,Nonminority,171000.0,58.4,
2023,2017.0,Business Ownership,2018 Nonemployer Statistics by Demographics series,Nonemployer Businesses,Minority_Nonminority,Equally Minority/Nonminority,1300.0,0.4,
2023,2017.0,Business Ownership,2018 Nonemployer Statistics by Demographics series,Nonemployer Businesses,Unclassifiable,Unclassifiable,6800.0,2.3,
2023,2017.0,Business Ownership,2018 Nonemployer Statistics by Demographics series,Nonemployer Businesses,Sex,Female,122000.0,41.6,
2023,2017.0,Business Ownership,2018 Nonemployer Statistics by Demographics series,Nonemployer Businesses,Sex,Male,159000.0,54.3,
2023,2017.0,Business Ownership,2018 Nonemployer Statistics by Demographics series,Nonemployer Businesses,Sex,Equally Female/Male Owned,5000.0,1.7,
2023,2017.0,Business Ownership,2018 Nonemployer Statistics by Demographics series,Nonemployer Businesses,Total,Total,293000.0,100.0,
2023,2021.0,Commute Time and Method of Transportation,2021 American Community Survey 5-Year Estimates from IPUMS USA.,Commute Method of Transportation Among Employed People 16 Years of Age and Older,Private motor vehicle,"Auto, truck, or van",1288353.0,79.7,
2023,2021.0,Commute Time and Method of Transportation,2021 American Community Survey 5-Year Estimates from IPUMS USA.,Commute Method of Transportation Among Employed People 16 Years of Age and Older,Private motor vehicle,Motorcycle,7443.0,0.5,
2023,2021.0,Commute Time and Method of Transportation,2021 American Community Survey 5-Year Estimates from IPUMS USA.,Commute Method of Transportation Among Employed People 16 Years of Age and Older,Public transport,Bus,31233.0,1.9,
2023,2021.0,Commute Time and Method of Transportation,2021 American Community Survey 5-Year Estimates from IPUMS USA.,Commute Method of Transportation Among Employed People 16 Years of Age and Older,Public transport,"Light rail, streetcar, or trolley",3784.0,0.2,
2023,2021.0,Commute Time and Method of Transportation,2021 American Community Survey 5-Year Estimates from IPUMS USA.,Commute Method of Transportation Among Employed People 16 Years of Age and Older,Public transport,Subway or elevated,1022.0,0.1,
2023,2021.0,Commute Time and Method of Transportation,2021 American Community Survey 5-Year Estimates from IPUMS USA.,Commute Method of Transportation Among Employed People 16 Years of Age and Older,Public transport,Long-distance train or commuter train,2519.0,0.2,
2023,2021.0,Commute Time and Method of Transportation,2021 American Community Survey 5-Year Estimates from IPUMS USA.,Commute Method of Transportation Among Employed People 16 Years of Age and Older,Public transport,Taxicab,2414.0,0.2,
2023,2021.0,Commute Time and Method of Transportation,2021 American Community Survey 5-Year Estimates from IPUMS USA.,Commute Method of Transportation Among Employed People 16 Years of Age and Older,Public transport,Ferryboat,452.0,0.0,
2023,2021.0,Commute Time and Method of Transportation,2021 American Community Survey 5-Year Estimates from IPUMS USA.,Commute Method of Transportation Among Employed People 16 Years of Age and Older,Bicycle,Bicycle,8770.0,0.5,
2023,2021.0,Commute Time and Method of Transportation,2021 American Community Survey 5-Year Estimates from IPUMS USA.,Commute Method of Transportation Among Employed People 16 Years of Age and Older,Walked only,Walked only,47703.0,3.0,
2023,2021.0,Commute Time and Method of Transportation,2021 American Community Survey 5-Year Estimates from IPUMS USA.,Commute Method of Transportation Among Employed People 16 Years of Age and Older,Other,Other,18422.0,1.1,
2023,2021.0,Commute Time and Method of Transportation,2021 American Community Survey 5-Year Estimates from IPUMS USA.,Commute Method of Transportation Among Employed People 16 Years of Age and Older,Worked at home,Worked at home,204758.0,12.7,
2023,2021.0,Commute Time and Method of Transportation,2021 American Community Survey 5-Year Estimates from IPUMS USA.,Commute Method of Transportation Among Employed People 16 Years of Age and Older,Total Private Motor Vehicle,Total Private Motor Vehicle,1295796.0,80.1,
2023,2021.0,Commute Time and Method of Transportation,2021 American Community Survey 5-Year Estimates from IPUMS USA.,Commute Method of Transportation Among Employed People 16 Years of Age and Older,Total Public Transport,Total Public Transport,41424.0,2.6,
2023,2021.0,Commute Time and Method of Transportation,2021 American Community Survey 5-Year Estimates from IPUMS USA.,Commute Method of Transportation by Race/Ethnicity,Private Motor Vehicle,American Indian or Alaska Native,3725.0,81.6,
2025,,English Language Learners,California Department of Education.,"06: 6th Grade (n=5,899)",ELL Level,Level 2,,23.6,
2023,2021.0,Commute Time and Method of Transportation,2021 American Community Survey 5-Year Estimates from IPUMS USA.,Commute Method of Transportation by Race/Ethnicity,Private Motor Vehicle,Asian,161344.0,81.5,
2023,2021.0,Commute Time and Method of Transportation,2021 American Community Survey 5-Year Estimates from IPUMS USA.,Commute Method of Transportation by Race/Ethnicity,Private Motor Vehicle,Black or African American,56353.0,77.7,
2023,2021.0,Commute Time and Method of Transportation,2021 American Community Survey 5-Year Estimates from IPUMS USA.,Commute Method of Transportation by Race/Ethnicity,Private Motor Vehicle,"Hispanic or Latino, of Any Race",443857.0,84.2,
2023,2021.0,Commute Time and Method of Transportation,2021 American Community Survey 5-Year Estimates from IPUMS USA.,Commute Method of Transportation by Race/Ethnicity,Private Motor Vehicle,Native Hawaiian or Pacific Islander,5425.0,82.5,
2023,2021.0,Commute Time and Method of Transportation,2021 American Community Survey 5-Year Estimates from IPUMS USA.,Commute Method of Transportation by Race/Ethnicity,Private Motor Vehicle,White,576079.0,77.4,
