Neighborhood,Homicide,Kidnapping/Abduction,Sexual Assault,Aggravated Assault,Simple Assault,Intimidation,Other Sex Offenses,Robbery,Arson,Burglary/Breaking & Entering,Larceny,Theft From Motor Vehicle,Motor Vehicle Theft,Fraud/Counterfeiting,Stolen Property Offenses,Vandalism,Drug/Narcotic Offenses,Pornography/Obscene Material,Gambling Offenses,Prostitution,Weapon Law Violations,Animal Cruelty
ADAMS NORTH,0.0,0.2,0.2,1.2,2.3,0.0,0.0,0.7,0.0,1.2,5.2,4.8,2.7,1.3,0.5,3.7,0.3,0.0,0.0,0.0,0.5,0.0
ALLIED GARDENS,0.0,0.1,0.2,1.2,2.3,0.4,0.0,0.3,0.0,1.5,2.8,1.8,2.3,1.5,0.2,2.5,1.4,0.0,0.0,0.0,0.4,0.0
ALTA VISTA,0.0,0.4,0.0,2.2,1.9,0.0,0.0,0.0,0.0,0.4,3.0,0.7,1.1,0.4,0.0,1.9,0.4,0.0,0.0,0.0,0.0,0.0
AZALEA/HOLLYWOOD PARK,0.0,0.3,0.3,2.7,7.0,0.9,0.0,0.3,0.6,0.3,2.4,4.0,3.4,1.8,0.9,7.3,2.4,0.0,0.0,0.0,0.3,0.0
BALBOA PARK,2.1,0.0,10.7,100.2,78.9,17.1,0.0,14.9,10.7,17.1,96.0,38.4,21.3,17.1,10.7,81.0,206.8,0.0,0.0,0.0,10.7,0.0
BARRIO LOGAN,0.3,0.3,0.5,5.3,5.3,0.7,0.0,1.5,0.0,2.3,3.6,2.1,5.2,0.6,1.0,5.6,8.7,0.0,0.0,1.9,2.4,0.0
BAY HO,0.0,0.2,0.2,0.7,3.0,0.4,0.0,0.0,0.2,0.9,4.8,2.1,1.8,1.7,0.4,2.7,1.5,0.0,0.0,0.0,0.2,0.0
BAY PARK,0.0,0.2,0.5,1.9,3.5,0.3,0.0,0.8,0.1,1.9,7.5,3.8,3.7,1.7,0.6,4.8,2.6,0.0,0.0,0.1,0.3,0.0
BAY TERRACES,0.0,0.1,0.5,2.0,2.2,0.1,0.0,0.2,0.1,0.8,3.1,1.5,3.2,1.0,0.3,2.7,0.9,0.0,0.0,0.0,0.5,0.0
BIRDLAND,0.0,0.7,1.7,4.8,11.1,1.2,0.0,0.2,0.0,0.5,2.9,4.7,3.8,1.9,0.2,6.1,0.2,0.0,0.0,0.0,0.0,0.0
BLACK MOUNTAIN RANCH,0.1,0.0,0.1,0.7,1.5,0.3,0.0,0.0,0.0,0.9,5.0,0.8,0.4,1.8,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0
BORDER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BROADWAY HEIGHTS,0.0,2.1,0.0,2.1,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,10.3,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0
BURLINGAME,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,3.7,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0
CARMEL MOUNTAIN,0.0,0.0,0.2,0.5,2.7,0.6,0.0,0.6,0.0,1.4,19.9,2.7,1.5,2.0,0.3,2.0,1.5,0.0,0.0,0.0,0.1,0.0
CARMEL VALLEY,0.0,0.0,0.0,0.4,1.2,0.6,0.0,0.1,0.0,1.0,3.3,1.4,0.7,1.6,0.1,1.3,0.1,0.0,0.0,0.0,0.1,0.0
CASTLE,0.0,0.0,0.6,6.9,7.7,2.5,0.0,0.7,0.3,0.8,3.6,3.2,2.2,2.5,0.7,9.4,3.5,0.0,0.0,0.0,0.9,0.0
CHEROKEE POINT,0.0,0.2,0.0,1.7,3.8,0.8,0.0,0.8,0.0,2.3,5.8,5.4,2.3,1.7,0.8,5.4,5.1,0.0,0.0,0.0,0.8,0.0
CHOLLAS CREEK,0.0,0.2,0.9,6.1,5.4,1.6,0.0,0.5,0.2,0.9,2.5,2.0,3.2,3.2,0.5,3.2,4.3,0.0,0.0,0.0,1.1,0.0
CHOLLAS VIEW,0.0,0.5,0.3,6.1,11.7,1.1,0.0,2.7,0.0,1.1,7.7,1.3,4.5,1.3,1.1,9.3,6.1,0.0,0.0,0.0,2.9,0.0
CLAIREMONT MESA EAST,0.0,0.1,0.3,2.1,4.1,0.4,0.0,0.6,0.0,1.2,10.1,3.2,2.1,1.8,0.6,3.2,2.7,0.0,0.0,0.0,0.2,0.0
CLAIREMONT MESA WEST,0.0,0.0,0.1,1.3,1.4,0.2,0.0,0.1,0.0,1.1,5.0,1.4,1.5,1.3,0.5,2.5,1.0,0.0,0.0,0.0,0.1,0.0
