Station,Ridership,Season,Year,Line,Neighborhood
12th/Imperial,12936,Summer,2023,Transfer,PETCO PARK
12th/Imperial (Bayside),2763,Summer,2023,Transfer,PETCO PARK
24th St,2360,Summer,2023,Blue,
25th & Commercial,1065,Summer,2023,Orange,LOGAN HEIGHTS
32nd & Commercial,702,Summer,2023,Orange,LOGAN HEIGHTS
47th St,504,Summer,2023,Orange,LINCOLN PARK
70th St,319,Summer,2023,Green,
8th St,1823,Summer,2023,Blue,
UCSD Health East,391,Summer,2023,Green,COLLEGE EAST
Amaya Drive,455,Summer,2023,Transfer,
America Plaza,2224,Summer,2023,Blue,CORE-COLUMBIA
Arnele Ave,1069,Summer,2023,Copper,
Balboa Avenue,1155,Summer,2023,Blue,BAY PARK
Barrio Logan,1634,Summer,2023,Blue,BARRIO LOGAN
Beyer Blvd,2304,Summer,2023,Blue,SAN YSIDRO
City College,4568,Summer,2023,Transfer,EAST VILLAGE
Civic Center,2223,Summer,2023,Transfer,CORE-COLUMBIA
Clairemont Drive,297,Summer,2023,Blue,BAY PARK
Convention Center,944,Summer,2023,Green,MARINA
County Center/Little Italy,1748,Summer,2023,Transfer,HARBORVIEW
Courthouse Station,758,Summer,2023,Orange,CORE-COLUMBIA
E St,2148,Summer,2023,Blue,
El Cajon,2000,Summer,2023,Transfer,
Encanto/62nd St,928,Summer,2023,Orange,ENCANTO
Euclid Ave,1884,Summer,2023,Orange,CHOLLAS VIEW
Executive Drive,840,Summer,2023,Blue,UNIVERSITY CITY
Fashion Valley,1845,Summer,2023,Green,MISSION VALLEY WEST
Fenton Parkway,510,Summer,2023,Green,MISSION VALLEY EAST
Fifth Ave,3427,Summer,2023,Transfer,CORE-COLUMBIA
Gaslamp Quarter,3183,Summer,2023,Green,EAST VILLAGE
Gillespie Field,202,Summer,2023,Copper,
Grantville,838,Summer,2023,Green,GRANTVILLE
Grossmont,1788,Summer,2023,Transfer,
H St,2609,Summer,2023,Blue,
Harborside,1359,Summer,2023,Blue,BARRIO LOGAN
Hazard Center,839,Summer,2023,Green,MISSION VALLEY EAST
Iris Ave,3453,Summer,2023,Blue,OTAY MESA WEST
La Mesa Blvd,700,Summer,2023,Orange,
Lemon Grove Depot,1221,Summer,2023,Orange,
Massachusetts Ave,452,Summer,2023,Orange,
Middletown,410,Summer,2023,Transfer,MIDTOWN
Mission San Diego,379,Summer,2023,Green,GRANTVILLE
Mission Valley Center,921,Summer,2023,Green,MISSION VALLEY EAST
Morena/Linda Vista,745,Summer,2023,Green,MORENA
Nobel Drive,1670,Summer,2023,Blue,LA JOLLA
Old Town,7054,Summer,2023,Transfer,OLD TOWN
Pacific Fleet,945,Summer,2023,Blue,BARRIO LOGAN
Palm Ave,2261,Summer,2023,Blue,PALM CITY
Palomar St,5026,Summer,2023,Blue,
Park/Market,3269,Summer,2023,Transfer,EAST VILLAGE
Rio Vista,524,Summer,2023,Green,MISSION VALLEY EAST
San Ysidro,12913,Summer,2023,Blue,BORDER
Santa Fe Depot,2364,Summer,2023,Transfer,CORE-COLUMBIA
Santee,936,Summer,2023,Copper,
SDSU,1672,Summer,2023,Green,COLLEGE WEST
Seaport Village,717,Summer,2023,Green,MARINA
Spring St,687,Summer,2023,Orange,
Tecolote Road,440,Summer,2023,Blue,MORENA
UCSD Central Campus,1260,Summer,2023,Blue,TORREY PINES
UCSD Health La Jolla,562,Summer,2023,Blue,UNIVERSITY CITY
UTC Station,1095,Summer,2023,Blue,UNIVERSITY CITY
VA Medical Center,920,Summer,2023,Blue,TORREY PINES
Washington St,981,Summer,2023,Transfer,MISSION HILLS
Stadium Station,211,Summer,2023,Green,QUALCOMM
12th/Imperial,13184,Fall,2023,Transfer,PETCO PARK
12th/Imperial (Bayside),3002,Fall,2023,Transfer,PETCO PARK
24th St,2440,Fall,2023,Blue,
25th & Commercial,1181,Fall,2023,Orange,LOGAN HEIGHTS
32nd & Commercial,797,Fall,2023,Orange,LOGAN HEIGHTS
47th St,546,Fall,2023,Orange,LINCOLN PARK
70th St,382,Fall,2023,Green,
8th St,2002,Fall,2023,Blue,
UCSD Health East,570,Fall,2023,Green,COLLEGE EAST
Amaya Drive,538,Fall,2023,Transfer,
America Plaza,2392,Fall,2023,Blue,CORE-COLUMBIA
Arnele Ave,1226,Fall,2023,Copper,
Balboa Avenue,1247,Fall,2023,Blue,BAY PARK
Barrio Logan,1452,Fall,2023,Blue,BARRIO LOGAN
